 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
1,Petr?leos Mexicanos,Petr?leo y gas,H,M?xico," 14†956†286,00 ","-2†947†759,00 "," 2†289†273,00 "," 20†520†982,00 "," 4†222†099,00 "," 123†842,00 "," 2,00 ", nd ,1
2,Am?rica M?vil,Telecomunicaciones,H,M?xico," 8†555†349,00 "," 1†963†261,00 "," 1†661†326,00 "," 16†896†498,00 "," 12†356†081,00 "," 181†205,00 "," 1,00 "," 432,00 ",-1
3,Walmart de M?xico,Comercio autoservicio,H,Estados Unidos," 736†044,00 "," 44†138,00 "," 629†077,00 "," 3†943†895,00 "," 208†507,00 "," 231†259,00 "," 3,00 "," 237,00 ",0
4,Comisi?n Federal de Electricidad,Energ?a,H,M?xico," 5†666†867,00 ","-1†062†601,00 ","-35†461,00 "," 22†663†485,00 "," 1†565†657,00 "," 87†690,00 "," 4,00 ","-152,00 ",0
5,FEMSA,Holding,H,M?xico," 556†261,00 "," 37†677,00 "," 54†575,00 "," 737†500,00 "," 402†383,00 "," 320†808,00 "," 5,00 "," 112,00 ",0
6,General Motors de M?xico,Armadora,H,Estados Unidos," 3†495†044,00 ", nd , nd , nd , nd ," 20†614,00 "," 6,00 ", nd ,0
7,Grupo Bimbo,Alimentos y bebidas,H,M?xico," 348†887,00 "," 17†382,00 "," 34†126,00 "," 337†639,00 "," 236†033,00 "," 137†543,00 "," 7,00 "," 171,00 ",0
8,Alfa,Holding,H,M?xico," 308†060,00 "," 7†429,00 "," 25†282,00 "," 269†107,00 "," 214†286,00 "," 56†160,00 "," 11,00 "," 136,00 ",3
9,Grupo M?xico,Holding,H,M?xico," 2†997†507,00 "," 802†006,00 "," 1†522†636,00 "," 6†639†372,00 "," 2†879†252,00 "," 29†707,00 "," 12,00 "," 213,00 ",3
10,Cemex,Cemento,H,M?xico," 2†951†111,00 "," 152†749,00 "," 328†217,00 "," 5†453†603,00 "," 3†351†766,00 "," 46†124,00 "," 8,00 "," 73,00 ",-2
